Subject,Folds,Window,Head,Mean Entropy,Std,Min,Max,Flag
subject_A,3,w0,h1,0.9525,0.0279,0.9163,0.9843,
subject_A,3,w0,h2,0.9691,0.0065,0.9604,0.9761,
subject_A,3,w1,h1,0.9492,0.0076,0.9384,0.9551,
subject_A,3,w1,h2,0.9352,0.0446,0.8771,0.9854,
subject_A,3,w2,h1,0.9162,0.0330,0.8776,0.9582,
subject_A,3,w2,h2,0.9242,0.0511,0.8639,0.9888,
subject_A,3,w3,h1,0.9526,0.0219,0.9282,0.9813,
subject_A,3,w3,h2,0.9383,0.0204,0.9128,0.9627,
subject_A,3,w4,h1,0.9774,0.0047,0.9733,0.9839,
subject_A,3,w4,h2,0.9778,0.0060,0.9694,0.9831,
subject_B,3,w0,h1,0.9584,0.0143,0.9452,0.9782,
subject_B,3,w0,h2,0.9771,0.0112,0.9639,0.9913,
subject_B,3,w1,h1,0.9545,0.0306,0.9137,0.9873,
subject_B,3,w1,h2,0.9497,0.0285,0.9160,0.9857,
subject_B,3,w2,h1,0.8801,0.0868,0.7585,0.9551,⚠
subject_B,3,w2,h2,0.9399,0.0576,0.8591,0.9894,
subject_B,3,w3,h1,0.8735,0.1138,0.7150,0.9769,⚠
subject_B,3,w3,h2,0.9476,0.0501,0.8768,0.9845,
subject_B,3,w4,h1,0.9506,0.0331,0.9051,0.9831,
subject_B,3,w4,h2,0.9693,0.0085,0.9583,0.9791,
subject_C,2,w0,h1,0.9755,0.0155,0.9600,0.9909,
subject_C,2,w0,h2,0.9578,0.0124,0.9453,0.9702,
subject_C,2,w1,h1,0.9867,0.0004,0.9863,0.9871,
subject_C,2,w1,h2,0.9927,0.0002,0.9925,0.9930,
subject_C,2,w2,h1,0.9791,0.0093,0.9698,0.9884,
subject_C,2,w2,h2,0.9834,0.0021,0.9813,0.9854,
subject_C,2,w3,h1,0.8897,0.0988,0.7909,0.9886,⚠
subject_C,2,w3,h2,0.9826,0.0043,0.9784,0.9869,
subject_C,2,w4,h1,0.9760,0.0128,0.9632,0.9888,
subject_C,2,w4,h2,0.9767,0.0051,0.9716,0.9818,
subject_E,3,w0,h1,0.9615,0.0417,0.9029,0.9969,
subject_E,3,w0,h2,0.9408,0.0539,0.8684,0.9976,
subject_E,3,w1,h1,0.8906,0.1277,0.7101,0.9880,⚠
subject_E,3,w1,h2,0.9739,0.0229,0.9424,0.9959,
subject_E,3,w2,h1,0.9227,0.0546,0.8657,0.9963,
subject_E,3,w2,h2,0.9006,0.1264,0.7219,0.9932,
subject_E,3,w3,h1,0.9703,0.0203,0.9475,0.9969,
subject_E,3,w3,h2,0.9660,0.0201,0.9482,0.9940,
subject_E,3,w4,h1,0.9538,0.0406,0.8997,0.9976,
subject_E,3,w4,h2,0.9759,0.0042,0.9710,0.9812,
subject_F,3,w0,h1,0.9777,0.0071,0.9690,0.9864,
subject_F,3,w0,h2,0.9682,0.0191,0.9413,0.9835,
subject_F,3,w1,h1,0.9434,0.0316,0.9025,0.9794,
subject_F,3,w1,h2,0.9669,0.0130,0.9511,0.9828,
subject_F,3,w2,h1,0.9177,0.0318,0.8770,0.9546,
subject_F,3,w2,h2,0.9365,0.0391,0.8844,0.9786,
subject_F,3,w3,h1,0.9420,0.0150,0.9281,0.9629,
subject_F,3,w3,h2,0.9547,0.0365,0.9035,0.9859,
subject_F,3,w4,h1,0.9503,0.0162,0.9387,0.9733,
subject_F,3,w4,h2,0.9673,0.0080,0.9575,0.9771,
subject_G,3,w0,h1,0.7932,0.1854,0.5324,0.9464,⚠
subject_G,3,w0,h2,0.8323,0.1542,0.6146,0.9526,⚠
subject_G,3,w1,h1,0.8920,0.0692,0.8393,0.9897,⚠
subject_G,3,w1,h2,0.8637,0.0860,0.7480,0.9541,⚠
subject_G,3,w2,h1,0.7990,0.0400,0.7690,0.8555,⚠
subject_G,3,w2,h2,0.8905,0.0520,0.8172,0.9319,⚠
subject_G,3,w3,h1,0.9441,0.0242,0.9126,0.9713,
subject_G,3,w3,h2,0.9576,0.0262,0.9207,0.9791,
subject_G,3,w4,h1,0.9502,0.0290,0.9093,0.9724,
subject_G,3,w4,h2,0.9757,0.0128,0.9646,0.9936,
subject_J,1,w0,h1,0.9955,0.0000,0.9955,0.9955,
subject_J,1,w0,h2,0.9933,0.0000,0.9933,0.9933,
subject_J,1,w1,h1,0.9866,0.0000,0.9866,0.9866,
subject_J,1,w1,h2,0.9938,0.0000,0.9938,0.9938,
subject_J,1,w2,h1,0.9816,0.0000,0.9816,0.9816,
subject_J,1,w2,h2,0.9902,0.0000,0.9902,0.9902,
subject_J,1,w3,h1,0.9962,0.0000,0.9962,0.9962,
subject_J,1,w3,h2,0.9946,0.0000,0.9946,0.9946,
subject_J,1,w4,h1,0.9960,0.0000,0.9960,0.9960,
subject_J,1,w4,h2,0.9959,0.0000,0.9959,0.9959,
subject_K,2,w0,h1,0.9806,0.0154,0.9652,0.9960,
subject_K,2,w0,h2,0.8978,0.0869,0.8109,0.9847,⚠
subject_K,2,w1,h1,0.9234,0.0504,0.8730,0.9739,
subject_K,2,w1,h2,0.9404,0.0032,0.9373,0.9436,
subject_K,2,w2,h1,0.9584,0.0052,0.9533,0.9636,
subject_K,2,w2,h2,0.9872,0.0062,0.9810,0.9933,
subject_K,2,w3,h1,0.9876,0.0098,0.9778,0.9974,
subject_K,2,w3,h2,0.9623,0.0269,0.9354,0.9891,
subject_K,2,w4,h1,0.9492,0.0245,0.9248,0.9737,
subject_K,2,w4,h2,0.9791,0.0161,0.9631,0.9952,
subject_L,2,w0,h1,0.9506,0.0373,0.9133,0.9879,
subject_L,2,w0,h2,0.9910,0.0035,0.9875,0.9945,
subject_L,2,w1,h1,0.9664,0.0212,0.9453,0.9876,
subject_L,2,w1,h2,0.9837,0.0026,0.9811,0.9862,
subject_L,2,w2,h1,0.9694,0.0175,0.9518,0.9869,
subject_L,2,w2,h2,0.9630,0.0119,0.9511,0.9749,
subject_L,2,w3,h1,0.9552,0.0255,0.9297,0.9808,
subject_L,2,w3,h2,0.9672,0.0233,0.9438,0.9905,
subject_L,2,w4,h1,0.9908,0.0015,0.9893,0.9923,
subject_L,2,w4,h2,0.9786,0.0071,0.9716,0.9857,
subject_M,3,w0,h1,0.9699,0.0210,0.9407,0.9886,
subject_M,3,w0,h2,0.9084,0.0906,0.7804,0.9764,
subject_M,3,w1,h1,0.9584,0.0419,0.8999,0.9953,
subject_M,3,w1,h2,0.9607,0.0340,0.9132,0.9914,
subject_M,3,w2,h1,0.9080,0.0521,0.8457,0.9732,
subject_M,3,w2,h2,0.9615,0.0295,0.9229,0.9944,
subject_M,3,w3,h1,0.9775,0.0126,0.9607,0.9910,
subject_M,3,w3,h2,0.9686,0.0093,0.9614,0.9818,
subject_M,3,w4,h1,0.9599,0.0330,0.9138,0.9890,
subject_M,3,w4,h2,0.9636,0.0231,0.9357,0.9922,
